Catálogo UNICO
Homologación entre los catálogos de SESA y OCRA


ID OCRA	ID SESA	Marca	Descripción 2014	Segmento, Clase	Clasificación
624	166	CADILLAC	ESCALADE	MULTIUSOS	AUTOMOVILES
625	476	ROLLS ROYCE	SILVER	LUJO	AUTOMOVILES
626	159	CHRYSLER	JEEP LIBERTY	MULTIUSOS	AUTOMOVILES
627	60	CHRYSLER	JEEP GRAND CHEROKEE	MULTIUSOS	AUTOMOVILES
628	59	CHRYSLER	JEEP WRANGLER	MULTIUSOS	AUTOMOVILES
629	254	CHRYSLER	JEEP COMMANDER	MULTIUSOS	AUTOMOVILES
630	304	CHRYSLER	JEEP PATRIOT	MULTIUSOS	AUTOMOVILES
631	294	CHRYSLER	JEEP COMPASS	MULTIUSOS	AUTOMOVILES
635	149	SAAB	9-3'	LUJO	AUTOMOVILES
642	174	ALFA ROMEO	147	LUJO	AUTOMOVILES
643	175	ALFA ROMEO	156	LUJO	AUTOMOVILES
644	176	ALFA ROMEO	166	LUJO	AUTOMOVILES
646	448	ALFA ROMEO	GTV	DEPORTIVO	AUTOMOVILES
647	449	ALFA ROMEO	SPIDER	DEPORTIVO	AUTOMOVILES
650	258	ACURA	TL	LUJO	AUTOMOVILES
651	259	ACURA	RL	LUJO	AUTOMOVILES
652	260	ACURA	MDX	MULTIUSOS	AUTOMOVILES
653	365	ACURA	TSX	LUJO	AUTOMOVILES
654	511	ACURA	RSX	LUJO	AUTOMOVILES
655	299	ACURA	RDX	MULTIUSOS	AUTOMOVILES
657	191	FIAT	PALIO	SUBCOMPACTO	AUTOMOVILES
658	306	FIAT	GRANDE PUNTO	COMPACTO	AUTOMOVILES
659	7	NISSAN	DATSUN	SUBCOMPACTO	AUTOMOVILES
660	7105	PIAGGIO	CARGO VAN	1	COMERCIAL
